"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
75, 2.082046528286030e-01, -2.900746797355000e-02, 1.425593636009795e+00, 1.615359795091096e+02, -2.888443969745932e+02, 3.170490926141459e+05, 1.753695107677351e+01, 3.443793219609862e+04, 0.000000000000000e+00, -1.500000000000000e+02
76, 2.070042908172690e-01, -2.820296217850400e-02, 1.422939618105450e+00, 1.600134738210388e+02, -2.975913924610978e+02, 3.180277193577355e+05, 1.745986943358967e+01, 3.494659357061681e+04, 0.000000000000000e+00, -1.500000000000000e+02
77, 2.057662119950400e-01, -2.724999305654200e-02, 1.419703227044693e+00, 1.583453901276540e+02, -3.067555415101334e+02, 3.190005455493151e+05, 1.748505445257239e+01, 3.555384007297311e+04, 0.000000000000000e+00, -1.500000000000000e+02
78, 2.109104064331620e-01, -3.004657079882600e-02, 1.426895059003468e+00, 1.679781500215016e+02, -2.707597636145267e+02, 3.145706541116444e+05, 1.843838176025525e+01, 3.394253588946775e+04, 0.000000000000000e+00, -1.500000000000000e+02
79, 2.032264627492080e-01, -2.644098479948600e-02, 1.421479354704406e+00, 1.472657207311002e+02, -3.169256314555860e+02, 3.204591699097634e+05, 1.654715613442596e+01, 3.607359216445049e+04, 0.000000000000000e+00, -1.500000000000000e+02
80, 2.013957254892210e-01, -2.580987883941400e-02, 1.422628576458083e+00, 1.401313387460178e+02, -3.225748265912999e+02, 3.212783106875682e+05, 1.642007847827603e+01, 3.687858357307881e+04, 0.000000000000000e+00, -1.500000000000000e+02
81, 1.998297705430530e-01, -2.509123386223600e-02, 1.423100325952470e+00, 1.353797227826934e+02, -3.266387703630630e+02, 3.218560222157424e+05, 1.667670514302294e+01, 3.811028508987368e+04, 0.000000000000000e+00, -1.500000000000000e+02
82, 1.982100710112000e-01, -2.412323208158700e-02, 1.422733753735087e+00, 1.316131394312699e+02, -3.298358129662831e+02, 3.221499426774095e+05, 1.722381553459382e+01, 3.970634368563057e+04, 0.000000000000000e+00, -1.500000000000000e+02
83, 1.966528551008790e-01, -2.298240098765700e-02, 1.424240508491340e+00, 1.287593813023919e+02, -3.322365101732307e+02, 3.228106849115079e+05, 1.802933766973444e+01, 4.165490893043732e+04, 0.000000000000000e+00, -1.500000000000000e+02
84, 2.149070629804110e-01, -3.184116489020600e-02, 1.431779341571454e+00, 1.689994169881417e+02, -2.404498528670609e+02, 3.104876986111276e+05, 1.835242252251263e+01, 3.210174231956106e+04, 0.000000000000000e+00, -1.500000000000000e+02
85, 2.165918477968080e-01, -3.292478301483000e-02, 1.436631494132236e+00, 1.650122054553449e+02, -2.275770269007536e+02, 3.091454359699079e+05, 1.730839593597571e+01, 3.061983781414405e+04, 0.000000000000000e+00, -1.500000000000000e+02
86, 2.123957261357090e-01, -3.026823156552800e-02, 1.425137753370467e+00, 1.731568459626138e+02, -2.610709513023104e+02, 3.129510724724732e+05, 1.939619721675807e+01, 3.405817759146992e+04, 0.000000000000000e+00, -1.500000000000000e+02
87, 2.047762340354580e-01, -2.624849291767300e-02, 1.416192074148042e+00, 1.577143557263164e+02, -3.148541602615717e+02, 3.198586426875418e+05, 1.763899691476606e+01, 3.623965421686665e+04, 0.000000000000000e+00, -1.500000000000000e+02
88, 1.949666940000000e-01, -2.223885459950900e-02, 1.424301858224604e+00, 1.270719909347466e+02, -3.312006706973775e+02, 3.224287330636138e+05, 1.909801199832458e+01, 4.411196763898270e+04, 0.000000000000000e+00, -1.500000000000000e+02
89, 2.139349541558270e-01, -3.034788057511700e-02, 1.422001785811960e+00, 1.791380116374425e+02, -2.505843598001054e+02, 3.110307277847106e+05, 2.064447731933047e+01, 3.435020428191792e+04, 0.000000000000000e+00, -1.500000000000000e+02
90, 2.105309475560050e-01, -2.873409592537000e-02, 1.417236484373879e+00, 1.775707113891096e+02, -2.785471390346930e+02, 3.148736821436030e+05, 2.025317499710596e+01, 3.563949020418390e+04, 0.000000000000000e+00, -1.500000000000000e+02
91, 2.093194078960650e-01, -2.827343256514500e-02, 1.417013851573384e+00, 1.740992216084417e+02, -2.872591530407031e+02, 3.161255981067271e+05, 1.964622959882267e+01, 3.572240925769474e+04, 0.000000000000000e+00, -1.500000000000000e+02
92, 2.081992106182830e-01, -2.763403536264000e-02, 1.415230756558304e+00, 1.720126592735997e+02, -2.959248437908576e+02, 3.172212449694679e+05, 1.935827170278968e+01, 3.601703940080306e+04, 0.000000000000000e+00, -1.500000000000000e+02
93, 2.071510557809700e-01, -2.688209001769800e-02, 1.412805876746011e+00, 1.705051527328956e+02, -3.044956300456438e+02, 3.182717914389074e+05, 1.923730238652390e+01, 3.642470935025757e+04, 0.000000000000000e+00, -1.500000000000000e+02
94, 2.060841204225380e-01, -2.600340056061200e-02, 1.409912845302326e+00, 1.689396872403723e+02, -3.134776193342882e+02, 3.193552770351734e+05, 1.919820112360500e+01, 3.689226572392204e+04, 0.000000000000000e+00, -1.500000000000000e+02
95, 2.118499575045450e-01, -2.899899701827000e-02, 1.415665167076445e+00, 1.827976101808113e+02, -2.694342689941930e+02, 3.133938085297989e+05, 2.126372092381463e+01, 3.583642982724459e+04, 0.000000000000000e+00, -1.500000000000000e+02
96, 2.025629220673590e-01, -2.477293588537400e-02, 1.414994180645842e+00, 1.499063952072263e+02, -3.264002643678656e+02, 3.213322112761424e+05, 1.730002992982923e+01, 3.704892223435899e+04, 0.000000000000000e+00, -1.500000000000000e+02
97, 2.011265574400710e-01, -2.419815007039600e-02, 1.416791108296054e+00, 1.432718551664187e+02, -3.297409991048025e+02, 3.218432016949909e+05, 1.705428205787920e+01, 3.768511071020007e+04, 0.000000000000000e+00, -1.500000000000000e+02
98, 1.996899063664170e-01, -2.336322204201500e-02, 1.418722482841462e+00, 1.377451968638487e+02, -3.330561330587730e+02, 3.225295987313745e+05, 1.715151786370398e+01, 3.867178801979777e+04, 0.000000000000000e+00, -1.500000000000000e+02
99, 2.040450834999410e-01, -2.512961935271000e-02, 1.411593321496950e+00, 1.585170338758203e+02, -3.229174894141518e+02, 3.206684685755128e+05, 1.806703519122733e+01, 3.696840055256371e+04, 0.000000000000000e+00, -1.500000000000000e+02
100, 1.982096642360940e-01, -2.223871586394700e-02, 1.419621569752215e+00, 1.329796425426329e+02, -3.352750287631084e+02, 3.228093650173874e+05, 1.753980558703102e+01, 4.006384067418188e+04, 0.000000000000000e+00, -1.500000000000000e+02
101, 1.967612741614790e-01, -2.035889079471800e-02, 1.425145124721200e+00, 1.290152715302858e+02, -3.376960911681634e+02, 3.243513091923977e+05, 1.824026509269667e+01, 4.180810285558819e+04, 0.000000000000000e+00, -1.500000000000000e+02
102, 2.154308248941470e-01, -3.014507044443800e-02, 1.416475493312519e+00, 1.872613936494158e+02, -2.402346151785152e+02, 3.089187208946318e+05, 2.259704143350029e+01, 3.518588862100506e+04, 0.000000000000000e+00, -1.500000000000000e+02
103, 2.166033229994320e-01, -3.115481637998800e-02, 1.422826942252584e+00, 1.800733381332310e+02, -2.295037232099632e+02, 3.077915646558946e+05, 2.101253379610075e+01, 3.346194749168921e+04, 0.000000000000000e+00, -1.500000000000000e+02
104, 2.181570495877160e-01, -3.200850968619900e-02, 1.426828227491712e+00, 1.753003744355137e+02, -2.171964532135783e+02, 3.062694013106569e+05, 1.982584662208555e+01, 3.196310045432175e+04, 0.000000000000000e+00, -1.500000000000000e+02
105, 2.131906308612720e-01, -2.908762378163000e-02, 1.412441026517858e+00, 1.893322984497773e+02, -2.600924709962135e+02, 3.117173097729349e+05, 2.265596941283652e+01, 3.630317216502174e+04, 0.000000000000000e+00, -1.500000000000000e+02
106, 2.053086148609800e-01, -2.509104214267400e-02, 1.406307201927600e+00, 1.687871301737427e+02, -3.214851195514053e+02, 3.202854123047545e+05, 1.937153818632618e+01, 3.745066250803377e+04, 0.000000000000000e+00, -1.500000000000000e+02
107, 1.949666940000000e-01, -2.032846213273500e-02, 1.425734122327923e+00, 1.267370879891682e+02, -3.317157407932474e+02, 3.228656994841652e+05, 1.928287317677083e+01, 4.447795152526272e+04, 0.000000000000000e+00, -1.500000000000000e+02
108, 2.145283107683480e-01, -2.901067157310200e-02, 1.407484847188279e+00, 1.971941387566592e+02, -2.503562157888308e+02, 3.098180704385951e+05, 2.440777094894079e+01, 3.703303585873891e+04, 0.000000000000000e+00, -1.500000000000000e+02
109, 2.114187550986090e-01, -2.786329628841100e-02, 1.406067484640157e+00, 1.926321123253231e+02, -2.777649542922412e+02, 3.139871170475655e+05, 2.294439183805887e+01, 3.743900911994244e+04, 0.000000000000000e+00, -1.500000000000000e+02
110, 2.102804303681960e-01, -2.755903745221800e-02, 1.407331662256236e+00, 1.878445733877034e+02, -2.863155299194226e+02, 3.153581182946254e+05, 2.205496179148578e+01, 3.727334597704979e+04, 0.000000000000000e+00, -1.500000000000000e+02
