"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
12078, 1.772658435280780e+01, 2.618650436258340e+01, 9.999044676527467e-01, 1.752484537885990e-01, 3.057583394243228e-02, 2.515608719338969e+00, 1.975692872996910e-09, 9.720469293124145e-03
12079, 1.802600609625720e+01, 2.606439264031370e+01, 9.999049915064542e-01, 1.752449611862405e-01, 3.057236774246780e-02, 2.515609826281263e+00, 1.973131656906565e-09, 9.708917846886810e-03
12080, 1.832301684815440e+01, 2.594048452290710e+01, 9.999054517686271e-01, 1.752415022172049e-01, 3.056893732373102e-02, 2.515610718671579e+00, 1.970586753585841e-09, 9.697432362732995e-03
12081, 1.862350891548700e+01, 2.581250668532620e+01, 9.999057290638332e-01, 1.752381567376514e-01, 3.056552945277738e-02, 2.515610994146996e+00, 1.967981848009064e-09, 9.685592987943662e-03
12082, 1.895004683346470e+01, 2.567141452364000e+01, 9.999055725469018e-01, 1.752350214985987e-01, 3.056240835555770e-02, 2.515609803618516e+00, 1.965215420026245e-09, 9.671797466910508e-03
12083, 1.938603158264860e+01, 2.548469202738560e+01, 9.999048971084753e-01, 1.752301381114134e-01, 3.055895695024348e-02, 2.515606488959093e+00, 1.963323180878012e-09, 9.648395059328164e-03
12084, 2.023291016035490e+01, 2.515764956973760e+01, 9.999049784442426e-01, 1.752150614103258e-01, 3.054675286266293e-02, 2.515603760915177e+00, 1.970535066092850e-09, 9.590082097050815e-03
12085, 2.238126300930830e+01, 2.463124000299160e+01, 9.999089622042910e-01, 1.751808699209544e-01, 3.052621221430170e-02, 2.515611017273608e+00, 2.017818541784109e-09, 9.472237582443302e-03
12086, 2.667554843557140e+01, 2.431278578019910e+01, 9.999161072042074e-01, 1.751288266149893e-01, 3.052301761662436e-02, 2.515626663645283e+00, 2.199964301944028e-09, 9.305682375933369e-03
12087, 3.262365379962620e+01, 2.422989295817540e+01, 9.999233519863009e-01, 1.750754022438575e-01, 3.054039789290284e-02, 2.515643191675804e+00, 2.773578157730335e-09, 9.127679126771353e-03
12088, 4.006734779682520e+01, 2.418859965869740e+01, 9.999297260527790e-01, 1.750278157840053e-01, 3.056858783422081e-02, 2.515658269573777e+00, 4.232462116556570e-09, 8.985184815022348e-03
12089, 4.929259402221120e+01, 2.415693535086140e+01, 9.999351628161312e-01, 1.749847268682646e-01, 3.059971622133601e-02, 2.515670164876601e+00, 7.182955605038027e-09, 8.921620138757929e-03
12090, 6.071282427004950e+01, 2.413170626938930e+01, 9.999400978950559e-01, 1.749405825091511e-01, 3.062881433505744e-02, 2.515677866230204e+00, 1.191301926510099e-08, 8.943728824987840e-03
12091, 7.484389892323669e+01, 2.411148403337960e+01, 9.999435540740690e-01, 1.748907073766127e-01, 3.065447732171679e-02, 2.515680584106049e+00, 1.775835636492709e-08, 8.979575182584158e-03
12092, 9.232529854650990e+01, 2.409522236295300e+01, 9.999431098988866e-01, 1.748374620415567e-01, 3.067839033174553e-02, 2.515678513208916e+00, 2.289697875557006e-08, 8.879901164033513e-03
12093, 1.139487978279360e+02, 2.408211959710290e+01, 9.999392949439807e-01, 1.747933532292997e-01, 3.070334808415543e-02, 2.515674197237052e+00, 2.514567399932270e-08, 8.495294577987774e-03
12094, 1.406941966725660e+02, 2.407154896381970e+01, 9.999373005949858e-01, 1.747749697231145e-01, 3.073057602318484e-02, 2.515672135955892e+00, 2.338105609848270e-08, 7.781011185075013e-03
12095, 1.737736420681970e+02, 2.406301437970380e+01, 9.999402489776191e-01, 1.747886298086526e-01, 3.075835998235505e-02, 2.515675486891660e+00, 1.836844148070950e-08, 6.835682285110694e-03
12096, 2.146865197674490e+02, 2.405612018021960e+01, 9.999448688651384e-01, 1.748218311231657e-01, 3.078324750448086e-02, 2.515683523023705e+00, 1.221035018352307e-08, 5.836931095177435e-03
12097, 2.652873888607840e+02, 2.405054925571880e+01, 9.999467254456872e-01, 1.748513137737965e-01, 3.080324667294122e-02, 2.515690485764048e+00, 6.936522153029672e-09, 4.934392285675174e-03
12098, 3.278700304115990e+02, 2.404604666383290e+01, 9.999474390919588e-01, 1.748641353168401e-01, 3.081896708496698e-02, 2.515697471467687e+00, 3.476239552682536e-09, 4.189238076090337e-03
12099, 4.052714153224310e+02, 2.404240703133090e+01, 9.999445865929896e-01, 1.748546493833540e-01, 3.083309373059449e-02, 2.515687759255685e+00, 1.664130436020579e-09, 3.588185767990387e-03
12100, 5.010000078023450e+02, 2.403948726635680e+01, 9.999541497487523e-01, 1.748513309779084e-01, 3.084427643391583e-02, 2.515720834939075e+00, 1.113184719494078e-09, 3.321798328171268e-03
12101, 5.010000078023450e+02, -3.163823573074290e+01, 9.999548543417778e-01, 1.748508705903409e-01, 3.083707944560719e-02, 2.515722706045062e+00, 6.458539317230785e-10, 3.425195417438120e-03
12102, 4.052717686648360e+02, -3.164218899103700e+01, 9.999456353103692e-01, 1.748446529479351e-01, 3.082878074293458e-02, 2.515689236475562e+00, 6.919541881923259e-10, 3.656782069492696e-03
12103, 3.278705711711770e+02, -3.164713778767980e+01, 9.999483632280202e-01, 1.748505578403479e-01, 3.081668440017414e-02, 2.515699402503628e+00, 7.899111619367723e-10, 4.143811781650797e-03
12104, 2.652882165942310e+02, -3.165326101257770e+01, 9.999478390136328e-01, 1.748487116698658e-01, 3.080332997884343e-02, 2.515696841520089e+00, 8.960634857962570e-10, 4.663513224199568e-03
12105, 2.146877871292640e+02, -3.166083912734460e+01, 9.999486067625576e-01, 1.748462970113394e-01, 3.078741460478314e-02, 2.515698604583851e+00, 1.007854989944336e-09, 5.204394378416812e-03
12106, 1.737755834050200e+02, -3.167022116395920e+01, 9.999494658572641e-01, 1.748414941603388e-01, 3.076934848017849e-02, 2.515700202292663e+00, 1.122840745359638e-09, 5.755154230080902e-03
12107, 1.406971723907090e+02, -3.168184296227440e+01, 9.999508015165275e-01, 1.748342030447586e-01, 3.074871969910341e-02, 2.515702947050590e+00, 1.238537466820973e-09, 6.304386748745431e-03
12108, 1.139533637646270e+02, -3.169625164313890e+01, 9.999526353989671e-01, 1.748234369001441e-01, 3.072549986628844e-02, 2.515706741085305e+00, 1.352464209634486e-09, 6.840910123864856e-03
12109, 9.233231576675161e+01, -3.171413976316520e+01, 9.999551372756526e-01, 1.748081047697998e-01, 3.069983413739484e-02, 2.515711989985373e+00, 1.462300060371124e-09, 7.354498487605225e-03
12110, 7.485471098114481e+01, -3.173639573182870e+01, 9.999584521169359e-01, 1.747869363769459e-01, 3.067252990358263e-02, 2.515719001994310e+00, 1.566045499118385e-09, 7.836564884917973e-03
12111, 6.072955324812580e+01, -3.176418456680940e+01, 9.999626991420320e-01, 1.747588172757191e-01, 3.064521725425205e-02, 2.515728048197949e+00, 1.662142289986949e-09, 8.280633916222880e-03
12112, 4.931869729017140e+01, -3.179911791788300e+01, 9.999678951480157e-01, 1.747232370614583e-01, 3.062048094201457e-02, 2.515739177651372e+00, 1.749524301704065e-09, 8.682498554564185e-03
12113, 4.011092954735420e+01, -3.184514436549500e+01, 9.999738250021417e-01, 1.746809890875096e-01, 3.060184448136282e-02, 2.515751887743625e+00, 1.827512060121188e-09, 9.039670512900140e-03
12114, 3.275144812866820e+01, -3.194014194638880e+01, 9.999798452494262e-01, 1.746351513627417e-01, 3.059363068950445e-02, 2.515764606722007e+00, 1.895147289650500e-09, 9.348273306308852e-03
12115, 2.736739719828220e+01, -3.228976545482080e+01, 9.999850514608696e-01, 1.745931608476035e-01, 3.060010960873331e-02, 2.515775612663412e+00, 1.949972268029444e-09, 9.597505166354705e-03
12116, 2.446680865428620e+01, -3.289471772902510e+01, 9.999879677376979e-01, 1.745668881295582e-01, 3.061563225311428e-02, 2.515781662261122e+00, 1.988014226998699e-09, 9.769811451150058e-03
12117, 2.323577069610540e+01, -3.330900769528240e+01, 9.999881290875771e-01, 1.745555185389624e-01, 3.062392569975041e-02, 2.515780493722841e+00, 2.009124221104256e-09, 9.865250793362573e-03
12118, 2.262154682555430e+01, -3.354363438283760e+01, 9.999874551574115e-01, 1.745512635092258e-01, 3.062671531866584e-02, 2.515777488184340e+00, 2.019178885003813e-09, 9.910594848243744e-03
12119, 2.219518322544390e+01, -3.370950827581400e+01, 9.999870268051904e-01, 1.745487059372559e-01, 3.062938918929571e-02, 2.515775631136162e+00, 2.024795900973411e-09, 9.935896463756854e-03
12120, 2.182069845168170e+01, -3.385353395779620e+01, 9.999870030362275e-01, 1.745462720884737e-01, 3.063206337338861e-02, 2.515775205457739e+00, 2.029097510032140e-09, 9.955270441825965e-03
12121, 2.145711773144410e+01, -3.399059283000590e+01, 9.999871840558104e-01, 1.745437811004847e-01, 3.063466156267488e-02, 2.515775481066557e+00, 2.033070106513084e-09, 9.973163227972598e-03
12122, 2.109265453824360e+01, -3.412488488953870e+01, 9.999874395448793e-01, 1.745412466444198e-01, 3.063727652337286e-02, 2.515776009100716e+00, 2.036999949007125e-09, 9.990863152944252e-03
12123, 2.072410532864240e+01, -3.425745035496730e+01, 9.999877184240188e-01, 1.745386901182605e-01, 3.063994668145341e-02, 2.515776616489231e+00, 2.040967428935945e-09, 1.000873159463171e-02
12124, 2.035060678450250e+01, -3.438847734109450e+01, 9.999880042386481e-01, 1.745361218175422e-01, 3.064268409005500e-02, 2.515777248063860e+00, 2.044994624943788e-09, 1.002686769096021e-02
12125, 1.997188086139290e+01, -3.451794124759440e+01, 9.999882921762155e-01, 1.745335457875103e-01, 3.064549333978085e-02, 2.515777887902863e+00, 2.049088150550176e-09, 1.004530108684801e-02
12126, 1.958777825077200e+01, -3.464576737822450e+01, 9.999885808782791e-01, 1.745309638265895e-01, 3.064837701399294e-02, 2.515778531666537e+00, 2.053250887232468e-09, 1.006404466752189e-02
12127, 1.919817263285750e+01, -3.477186751662090e+01, 9.999888699025178e-01, 1.745283770660560e-01, 3.065133731293421e-02, 2.515779178079204e+00, 2.057484955585113e-09, 1.008310790219081e-02
12128, 1.880293912344080e+01, -3.489614695791260e+01, 9.999891590202917e-01, 1.745257865104175e-01, 3.065437640150391e-02, 2.515779826586570e+00, 2.061792386254346e-09, 1.010249985452186e-02
12129, 1.840195030568300e+01, -3.501850550908630e+01, 9.999894480410049e-01, 1.745231931926742e-01, 3.065749648311059e-02, 2.515780476773085e+00, 2.066175255153960e-09, 1.012222978846925e-02
12130, 1.799507551917430e+01, -3.513883738642350e+01, 9.999897367707369e-01, 1.745205982148160e-01, 3.066069981729523e-02, 2.515781128225421e+00, 2.070635709948458e-09, 1.014230728658241e-02
12131, 1.758218069718950e+01, -3.525703091680940e+01, 9.999900250027041e-01, 1.745180027604159e-01, 3.066398872538052e-02, 2.515781780501590e+00, 2.075175977081805e-09, 1.016274228121642e-02
12132, 1.716312828981750e+01, -3.537296819261800e+01, 9.999903125143279e-01, 1.745154081010496e-01, 3.066736559406031e-02, 2.515782433121974e+00, 2.079798365783315e-09, 1.018354507222631e-02
12133, 1.673777720045720e+01, -3.548652470201280e+01, 9.999905990659113e-01, 1.745128156023235e-01, 3.067083287662590e-02, 2.515783085565793e+00, 2.084505271790287e-09, 1.020472634338834e-02
12134, 1.630598272543190e+01, -3.559756893657720e+01, 9.999908843997480e-01, 1.745102267298694e-01, 3.067439309390241e-02, 2.515783737269090e+00, 2.089299181215048e-09, 1.022629717945238e-02
12135, 1.586759649573010e+01, -3.570596197522820e+01, 9.999911682388614e-01, 1.745076430558022e-01, 3.067804883546328e-02, 2.515784387621492e+00, 2.094182674626749e-09, 1.024826908413578e-02
12136, 1.542246642121610e+01, -3.581155704286580e+01, 9.999914502865768e-01, 1.745050662646344e-01, 3.068180276071007e-02, 2.515785035965802e+00, 2.099158431373272e-09, 1.027065399917084e-02
12137, 1.497043663794790e+01, -3.591419904201350e+01, 9.999917302248577e-01, 1.745024981602851e-01, 3.068565760255391e-02, 2.515785681593521e+00, 2.104229234159096e-09, 1.029346432447447e-02
12138, 1.451134745945110e+01, -3.601372405553190e+01, 9.999920077132670e-01, 1.744999406739072e-01, 3.068961616982545e-02, 2.515786323742684e+00, 2.109397973886923e-09, 1.031671293946838e-02
12139, 1.404503533305790e+01, -3.610995881829810e+01, 9.999922823885312e-01, 1.744973958701734e-01, 3.069368134973607e-02, 2.515786961597517e+00, 2.114667654801307e-09, 1.034041322572778e-02
12140, 1.357133280274470e+01, -3.620272015554000e+01, 9.999925538491549e-01, 1.744948659670134e-01, 3.069785611006618e-02, 2.515787594238332e+00, 2.120041399891774e-09, 1.036457909074074e-02
12141, 1.309006848032090e+01, -3.629181438529740e+01, 9.999928216591355e-01, 1.744923533303724e-01, 3.070214349344967e-02, 2.515788220653398e+00, 2.125522770391325e-09, 1.038922823450370e-02
12142, 1.260106702733550e+01, -3.637703668225170e+01, 9.999930853598996e-01, 1.744898604909572e-01, 3.070654661583143e-02, 2.515788839783391e+00, 2.131114574300694e-09, 1.041437565459884e-02
12143, 1.210414915072020e+01, -3.645817039993100e+01, 9.999933444897858e-01, 1.744873901418957e-01, 3.071106866705807e-02, 2.515789450588910e+00, 2.136818848457341e-09, 1.044003057554642e-02
12144, 1.159913161597990e+01, -3.653498634806690e+01, 9.999935985724931e-01, 1.744849451694826e-01, 3.071571291523784e-02, 2.515790052015699e+00, 2.142636826297897e-09, 1.046619797162257e-02
12145, 1.108582728271710e+01, -3.660724202165830e+01, 9.999938470947124e-01, 1.744825286621752e-01, 3.072048269960604e-02, 2.515790642918094e+00, 2.148568553621565e-09, 1.049287596383176e-02
12146, 1.056404516845340e+01, -3.667468077810930e+01, 9.999940894972098e-01, 1.744801439254751e-01, 3.072538143045558e-02, 2.515791222030548e+00, 2.154617019476720e-09, 1.052007793363021e-02
12147, 1.003359054811780e+01, -3.673703095866900e+01, 9.999943251814789e-01, 1.744777944883272e-01, 3.073041259767578e-02, 2.515791787992196e+00, 2.160785287124072e-09, 1.054781759374922e-02
12148, 9.494265098240421e+00, -3.679400495033890e+01, 9.999945535141708e-01, 1.744754841156992e-01, 3.073557977720372e-02, 2.515792339364679e+00, 2.167076493065971e-09, 1.057610898379652e-02
12149, 8.945867096835270e+00, -3.684529818446230e+01, 9.999947738255168e-01, 1.744732168239360e-01, 3.074088662640140e-02, 2.515792874629198e+00, 2.173493845347135e-09, 1.060496646257855e-02
12150, 8.388191692201611e+00, -3.689058806841320e+01, 9.999949854075401e-01, 1.744709969006433e-01, 3.074633687812781e-02, 2.515793392183563e+00, 2.180040620945456e-09, 1.063440469633048e-02
12151, 7.821031256417600e+00, -3.692953284721030e+01, 9.999951875114518e-01, 1.744688289246073e-01, 3.075193433414809e-02, 2.515793890336415e+00, 2.186720162066731e-09, 1.066443864202915e-02
12152, 7.244175842137450e+00, -3.696177039255150e+01, 9.999953793457023e-01, 1.744667177861237e-01, 3.075768285805996e-02, 2.515794367303758e+00, 2.193535871116799e-09, 1.069508352478266e-02
12153, 6.657413764397870e+00, -3.698691691777360e+01, 9.999955600741690e-01, 1.744646687080181e-01, 3.076358636743437e-02, 2.515794821206079e+00, 2.200491204052988e-09, 1.072635480795906e-02
12154, 6.060532332432320e+00, -3.700456561865250e+01, 9.999957288141411e-01, 1.744626872676097e-01, 3.076964882462718e-02, 2.515795250064890e+00, 2.207589661772498e-09, 1.075826815452062e-02
12155, 5.453318759886310e+00, -3.701428524187050e+01, 9.999958846342035e-01, 1.744607794199787e-01, 3.077587422513606e-02, 2.515795651799055e+00, 2.214834779140501e-09, 1.079083937778513e-02
12156, 4.835561285184810e+00, -3.701561858545510e+01, 9.999960265519402e-01, 1.744589515223796e-01, 3.078226658317986e-02, 2.515796024220609e+00, 2.222230111205052e-09, 1.082408437958693e-02
12157, 4.207050536939830e+00, -3.700808093862850e+01, 9.999961535315350e-01, 1.744572103597423e-01, 3.078882991371103e-02, 2.515796365030321e+00, 2.229779216089722e-09, 1.085801907356066e-02
12158, 3.567581181961740e+00, -3.699115847236310e+01, 9.999962644812754e-01, 1.744555631710706e-01, 3.079556821019249e-02, 2.515796671812898e+00, 2.237485633996797e-09, 1.089265929101136e-02
12159, 2.916953895361920e+00, -3.696430659655800e+01, 9.999963582510468e-01, 1.744540176763290e-01, 3.080248541763284e-02, 2.515796942032141e+00, 2.245352861702049e-09, 1.092802066660371e-02
12160, 2.254977693064680e+00, -3.692694830515470e+01, 9.999964336298178e-01, 1.744525821034868e-01, 3.080958540027886e-02, 2.515797173025910e+00, 2.253384321877661e-09, 1.096411850090563e-02
