"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27401, 2.291908168193632e+01, 1.942004629472482e+00, 1.074842152973918e+01, 1.373937452566808e+03, -2.754515063462493e+01, 2.338571668984146e+06, 1.943623550289278e-03
27402, 2.327975848285277e+01, 2.186906817461171e+00, 1.075488953863985e+01, 1.382455298300875e+03, -2.208050083982008e+01, 2.339970068854819e+06, 1.330392566681913e-03
27403, 2.369220364500139e+01, 2.466960101672668e+00, 1.076038288371365e+01, 1.390170066528273e+03, -1.749999010618377e+01, 2.341220320313064e+06, 8.815783550160592e-04
27404, 2.416378616882653e+01, 2.787168087350002e+00, 1.076494408996481e+01, 1.397090491694341e+03, -1.364163302654651e+01, 2.342330090916025e+06, 5.644783622793542e-04
27405, 2.470291671934694e+01, 3.153241677607290e+00, 1.076862621954938e+01, 1.403256067852597e+03, -1.036495621432509e+01, 2.343305894915694e+06, 3.487568381132929e-04
27406, 2.531919400254912e+01, 3.571698464072178e+00, 1.077149034718455e+01, 1.408733822920316e+03, -7.552678778584146e+00, 2.344153177686266e+06, 2.078269367420991e-04
27407, 2.602357160593160e+01, 4.049976012836837e+00, 1.077359642462433e+01, 1.413614371207332e+03, -5.112451770805477e+00, 2.344875221910772e+06, 1.196460674209973e-04
27408, 2.682854815148114e+01, 4.596560979720589e+00, 1.077498793857782e+01, 1.418006083948758e+03, -2.979540918769695e+00, 2.345470495109888e+06, 6.693340204703629e-05
27409, 2.774838400424750e+01, 5.221136256978592e+00, 1.077567168810242e+01, 1.422025085748159e+03, -1.121889488646270e+00, 2.345928099848415e+06, 3.689604552396586e-05
27410, 2.879934822912933e+01, 5.934748658767130e+00, 1.077559563489812e+01, 1.425776352736433e+03, 4.508836851390135e-01, 2.346221139736627e+06, 2.061224218091687e-05
27411, 3.000000000000000e+01, 6.750000000000000e+00, 1.077206412914167e+01, 1.428155277072822e+03, 7.511646534074030e-01, 2.345465102896138e+06, 1.525613743685233e-05
27412, 2.042624970837484e+01, 2.612012813083694e-01, 9.512681735043124e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.117118788991568e+06, 0.000000000000000e+00
27413, 2.042625223480324e+01, 2.612030596180156e-01, 9.512731071649178e+00, -9.128671007036530e+00, 1.488420159448012e+01, 2.117134996210651e+06, 1.408533951087023e-06
27414, 2.042625542056190e+01, 2.612053020189246e-01, 9.512881727143105e+00, -1.831136608717366e+01, 2.985721001917911e+01, 2.117183691852731e+06, 3.838864003143453e-06
27415, 2.042625939470149e+01, 2.612080993476542e-01, 9.513132438386739e+00, -2.745743035110016e+01, 4.477161545215017e+01, 2.117264409098085e+06, 8.071947168960152e-06
27416, 2.042626430872519e+01, 2.612115582447039e-01, 9.513470185186522e+00, -3.630704346357394e+01, 5.920388075360759e+01, 2.117373227542846e+06, 1.455810988745829e-05
27417, 2.042627034025091e+01, 2.612158037322675e-01, 9.513875049326742e+00, -4.467786521901127e+01, 7.285719178382871e+01, 2.117504126859616e+06, 2.379427940973888e-05
27418, 2.042627769724689e+01, 2.612209821956228e-01, 9.514337756559771e+00, -5.265373335772799e+01, 8.586911775094492e+01, 2.117654173504238e+06, 3.512242068741967e-05
27419, 2.042628662292806e+01, 2.612272648296023e-01, 9.514857450797825e+00, -6.037386565561247e+01, 9.846747781645092e+01, 2.117822967665756e+06, 4.869333289075577e-05
27420, 2.042629740141354e+01, 2.612348516207598e-01, 9.515433599320966e+00, -6.791167680219991e+01, 1.107727567199709e+02, 2.118010231861030e+06, 6.512081119651601e-05
