"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
187, 2.502041000000000e-01, 4.696250000000000e-05, -4.054499075528441e-04, 1.790148400096915e-02, 4.312820807275301e-01, -4.437413903258911e+00, 1.607400320198653e+02, -1.142105666504406e+02, -9.695295170931000e+03, -1.178662837324309e+03, -1.208896913000326e+03, 8.853177581573851e+03
188, -1.990233000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.166958267559242e+04, -1.018458011394019e+04, 9.752783796587568e+05, 1.950810851083607e+06
189, -1.905404000000000e-01, 0.000000000000000e+00, -4.327315051712743e-07, 3.232800303343794e-05, -4.150389986824505e-04, -1.624634494936626e-03, -2.934580457789577e-01, 1.534265496648972e+00, -4.432528035241924e+04, 5.925649578929755e+03, 4.330620832227381e+05, 8.675806750152035e+05
190, -1.814989000000000e-01, 0.000000000000000e+00, -1.374069003304607e-06, 1.263110670338675e-04, -7.822512884238363e-04, -9.242726667890663e-03, -5.852276533505136e-01, 4.002505567349845e+00, -4.659181083424631e+04, 2.496502183986890e+04, 4.572361125708359e+05, 9.172675895603811e+05
191, -1.719248000000000e-01, 0.000000000000000e+00, -3.002953505709805e-06, 2.716882501834012e-04, -8.928351535980521e-04, -2.258431296312498e-02, -7.390430188310563e-01, 6.772970095753586e+00, -4.637671625809230e+04, 3.075388753468340e+04, 3.657317497750612e+05, 7.355188517064331e+05
192, -1.618466000000000e-01, 0.000000000000000e+00, -5.400064385633981e-06, 4.648198678101439e-04, -6.354153269411572e-04, -4.192246577266230e-02, -6.908003300862391e-01, 9.452086372816908e+00, -4.456960051557033e+04, 3.348900632053414e+04, 3.067872979547137e+05, 6.185199518581519e+05
193, -1.512935000000000e-01, 0.000000000000000e+00, -8.644602873401214e-06, 7.028443048645523e-04, 6.064000592584688e-05, -6.751658984241130e-02, -4.103323243752993e-01, 1.177164115893424e+01, -4.250365918687611e+04, 3.514669876000896e+04, 2.601257653376777e+05, 5.260144800852252e+05
194, -1.402968000000000e-01, 0.000000000000000e+00, -1.277710475711311e-05, 9.825325035825870e-04, 1.259137513070926e-03, -9.954892874066437e-02, 1.274584047847543e-01, 1.353806793256204e+01, -4.052069421974510e+04, 3.580767090612862e+04, 2.203749557778427e+05, 4.473102992991925e+05
195, -1.288884000000000e-01, 0.000000000000000e+00, -1.780067723147172e-05, 1.300574773950841e-03, 3.020099336719545e-03, -1.381467055865359e-01, 9.461635763627121e-01, 1.464555393460948e+01, -3.862026040029492e+04, 3.576861885565419e+04, 1.863126808463680e+05, 3.799781119138292e+05
196, -1.171021000000000e-01, 0.000000000000000e+00, -2.369246374882808e-05, 1.653625141940664e-03, 5.399582981935407e-03, -1.833732410970029e-01, 2.069423819690114e+00, 1.509589368882304e+01, -3.682211596288243e+04, 3.521429615301550e+04, 1.562812797724907e+05, 3.207562911305740e+05
197, -1.049722000000000e-01, 0.000000000000000e+00, -3.041150767246856e-05, 2.038366332881667e-03, 8.449815894661920e-03, -2.352253256368821e-01, 3.520688827048015e+00, 1.501497099997298e+01, -3.515370152090055e+04, 3.431293342828908e+04, 1.291205167756477e+05, 2.674211001039471e+05
198, -9.253454000000000e-02, 0.000000000000000e+00, -3.790528924906215e-05, 2.451533440766094e-03, 1.221378448906261e-02, -2.936453896704744e-01, 5.312434955747087e+00, 1.462889168557110e+01, -3.364860789024066e+04, 3.327171882220226e+04, 1.038345028478881e+05, 2.181851187729641e+05
199, -7.982535000000000e-02, 0.000000000000000e+00, -4.611776328932163e-05, 2.890015756216632e-03, 1.672387406971284e-02, -3.585775889319915e-01, 7.440063091685523e+00, 1.416719544950425e+01, -3.233555096906961e+04, 3.226179018957070e+04, 7.955000710650919e+04, 1.717138055234593e+05
200, -6.688208000000000e-02, 0.000000000000000e+00, -5.499426217911426e-05, 3.350920273716743e-03, 2.202215672346634e-02, -4.299962726978052e-01, 9.912431944628423e+00, 1.378633296130951e+01, -3.115771105000912e+04, 3.074995101872014e+04, 5.592293799491707e+04, 1.278360614175411e+05
201, -5.374259000000000e-02, 0.000000000000000e+00, -6.447781830727472e-05, 3.831745957589991e-03, 2.816435347491061e-02, -5.078399978215318e-01, 1.276428322309339e+01, 1.367470912822010e+01, -2.944124049325154e+04, 2.662564728906180e+04, 3.414999541094306e+04, 8.836506465716101e+04
202, -4.044550000000000e-02, 0.000000000000000e+00, -7.448156589935687e-05, 4.330579628875949e-03, 3.518868820091224e-02, -5.920444586098064e-01, 1.600850618151830e+01, 1.407005362580145e+01, -2.856630312667543e+04, 1.447307094778960e+04, 1.962956665808411e+04, 5.825519092285599e+04
203, -2.702974000000000e-02, 0.000000000000000e+00, -8.495309910091778e-05, 4.846304950734009e-03, 4.311811386389564e-02, -6.827435277341225e-01, 1.963586763066909e+01, 1.503044027384990e+01, -2.852299489334540e+04, 3.403551197542238e+03, 1.623815810362172e+04, 4.554135987963509e+04
204, -1.353473000000000e-02, 0.000000000000000e+00, -9.594761122273219e-05, 5.378045207387468e-03, 5.198944271237506e-02, -7.803649610836250e-01, 2.364934991161346e+01, 1.634707627119295e+01, -2.836095982026619e+04, 2.728727693751731e+03, 1.876862042087992e+04, 4.874026179383494e+04
205, -9.637083000000000e-13, 0.000000000000000e+00, -1.075157676653728e-04, 5.924497090632606e-03, 6.184064317951300e-02, -8.855397161354349e-01, 2.804795537107922e+01, 1.757194834244274e+01, -2.868603017840200e+04, 4.913468503137943e+03, 2.103042093877395e+04, 5.383345364268291e+04
206, 1.353473000000000e-02, 0.000000000000000e+00, -1.196317931746920e-04, 6.484006880032550e-03, 7.269818820752111e-02, -9.989451842784300e-01, 3.282660815358552e+01, 1.807727343297458e+01, -2.888543403493189e+04, 5.715931874793388e+03, 2.207907606157905e+04, 5.609988343794192e+04
207, 2.702974000000000e-02, 0.000000000000000e+00, -1.322491907584753e-04, 7.054753669716558e-03, 8.458899852453260e-02, -1.120970469192406e+00, 3.799596933136564e+01, 1.736182805378090e+01, -2.883293152617909e+04, 5.537785251071689e+03, 2.264854934220316e+04, 5.686100000006008e+04
208, 4.044550000000000e-02, 0.000000000000000e+00, -1.453268190082429e-04, 7.634794602936147e-03, 9.751543558065448e-02, -1.251395625362649e+00, 4.355261981445819e+01, 1.535958037901651e+01, -2.864790513002824e+04, 5.321950332181696e+03, 2.307106568363714e+04, 5.729788274655732e+04
209, 5.374259000000000e-02, 0.000000000000000e+00, -1.588211334187695e-04, 8.222034778537187e-03, 1.114134652683160e-01, -1.389470428269409e+00, 4.944209783356121e+01, 1.236534666586965e+01, -2.837784606348165e+04, 5.177542910961780e+03, 2.328987500258250e+04, 5.740764095283719e+04
210, 6.688208000000000e-02, 0.000000000000000e+00, -1.726795918445949e-04, 8.814231799407145e-03, 1.261796381122561e-01, -1.534325143296657e+00, 5.558546227066714e+01, 8.699971060337873e+00, -2.800637906535895e+04, 4.957026600491194e+03, 2.324597666482860e+04, 5.699199801286514e+04
211, 7.982535000000000e-02, 0.000000000000000e+00, -1.868405585326778e-04, 9.408992860397654e-03, 1.417169101538126e-01, -1.685133442615374e+00, 6.191719191835062e+01, 4.573971479329487e+00, -2.751427456242363e+04, 4.651868011207551e+03, 2.294680364592483e+04, 5.604358944897878e+04
212, 9.253454000000000e-02, 0.000000000000000e+00, -2.012349535384777e-04, 1.000380101597458e-02, 1.579316112801976e-01, -1.841061198822305e+00, 6.838282501207462e+01, 1.289845669945180e-01, -2.689730342100728e+04, 4.303623678086773e+03, 2.238955024886439e+04, 5.457715358305777e+04
213, 1.049722000000000e-01, 0.000000000000000e+00, -2.157858575864713e-04, 1.059600488605473e-02, 1.747178065910139e-01, -2.001197046366344e+00, 7.492716327557302e+01, -4.512763548814519e+00, -2.615886966798762e+04, 3.915057159771328e+03, 2.156271347950915e+04, 5.257607369554160e+04
214, 1.171021000000000e-01, 0.000000000000000e+00, -2.304094285427034e-04, 1.118286688841226e-02, 1.919558415994351e-01, -2.164554988701123e+00, 8.149317513289679e+01, -9.243980093114658e+00, -2.530418716152571e+04, 3.474983735083827e+03, 2.045513063137947e+04, 5.001889796950202e+04
215, 1.288884000000000e-01, 0.000000000000000e+00, -2.450145115578213e-04, 1.176153824922475e-02, 2.095149096317100e-01, -2.330081157490193e+00, 8.802466620716480e+01, -1.398428355510373e+01, -2.433799855743414e+04, 2.989118762289236e+03, 1.906868477503111e+04, 4.691727077744334e+04
216, 1.402968000000000e-01, 0.000000000000000e+00, -2.595047931452533e-04, 1.232913280676772e-02, 2.272576282346545e-01, -2.496681879047768e+00, 9.446895634644454e+01, -1.868612258040582e+01, -2.327156726625045e+04, 2.438804736565137e+03, 1.740875037476805e+04, 4.328142311624134e+04
217, 1.512935000000000e-01, 0.000000000000000e+00, -2.737784554665515e-04, 1.288269858292729e-02, 2.450400702094165e-01, -2.663215582748772e+00, 1.007769377178572e+02, -2.333245560385433e+01, -2.212635012121160e+04, 1.805728885019766e+03, 1.551094455718108e+04, 3.918037786678788e+04
218, 1.618466000000000e-01, 0.000000000000000e+00, -2.877314925379661e-04, 1.341931165141088e-02, 2.627156029464454e-01, -2.828521601488047e+00, 1.069042552717650e+02, -2.793397781708779e+01, -2.090843605920467e+04, 1.147794732532498e+03, 1.338054262193616e+04, 3.467899941128889e+04
219, 1.719248000000000e-01, 0.000000000000000e+00, -3.012573926932143e-04, 1.393603307164404e-02, 2.801350436510937e-01, -2.991412870804637e+00, 1.128110569336458e+02, -3.252582989267830e+01, -1.963538907920036e+04, 4.663586160672751e+02, 1.100004686338237e+04, 2.980074469523591e+04
220, 1.814989000000000e-01, 0.000000000000000e+00, -3.142504153860480e-04, 1.443001376845044e-02, 2.971516489027611e-01, -3.150713662528402e+00, 1.184632241215297e+02, -3.716551435800272e+01, -1.833226453826664e+04, -2.799585471319319e+02, 8.369828682091467e+03, 2.461913646470570e+04
221, 1.905404000000000e-01, -4.336809000000000e-19, -3.266059121582566e-04, 1.489845985167697e-02, 3.136210784080474e-01, -3.305251194493910e+00, 1.238316318432495e+02, -4.192817027347974e+01, -1.701702898599896e+04, -1.080391667851403e+03, 5.519238716835975e+03, 1.938619078271589e+04
222, 1.990233000000000e-01, 0.000000000000000e+00, -3.382253568699929e-04, 1.533876602975238e-02, 3.294068697756691e-01, -3.453899327976410e+00, 1.288930062486701e+02, -4.690138181517909e+01, -1.571200254350943e+04, -1.921848853962886e+03, 2.481824670788907e+03, 1.465626669952004e+04
223, 2.069223000000000e-01, 0.000000000000000e+00, -3.490165596516929e-04, 1.574846774120245e-02, 3.443792423144341e-01, -3.595559737507642e+00, 1.336283594912499e+02, -5.217560159677657e+01, -1.444284251390818e+04, -2.801346456428909e+03, -6.848760961886755e+02, 1.172180240086088e+04
224, 2.142143000000000e-01, 0.000000000000000e+00, -3.588987036156404e-04, 1.612536999560408e-02, 3.584195652584690e-01, -3.729196359122806e+00, 1.380230611183919e+02, -5.783305495558227e+01, -1.323899944593359e+04, -3.711232404628595e+03, -3.884082353319698e+03, 1.229319843258278e+04
