"PointID","x","y","Temperature"
55, 1.542820518932965e-02, 1.700000000000000e-03, 3.644834679943546e+02
56, 1.537842185804760e-02, 1.700000000000000e-03, 3.648480904935233e+02
57, 1.532863852676554e-02, 1.700000000000000e-03, 3.652120061945558e+02
58, 1.527885519548348e-02, 1.700000000000000e-03, 3.655752101183830e+02
59, 1.522907186420142e-02, 1.700000000000000e-03, 3.659376953597491e+02
60, 1.517928853291936e-02, 1.700000000000000e-03, 3.662994545893928e+02
61, 1.512950520163730e-02, 1.700000000000000e-03, 3.666604804516367e+02
62, 1.507972187035524e-02, 1.700000000000000e-03, 3.670207656034969e+02
63, 1.502993853907318e-02, 1.700000000000000e-03, 3.673803026144755e+02
64, 1.498015520779113e-02, 1.700000000000000e-03, 3.677390840800732e+02
65, 1.493037187650907e-02, 1.700000000000000e-03, 3.680971026015146e+02
66, 1.488058854522701e-02, 1.700000000000000e-03, 3.684543506625147e+02
67, 1.483080521394495e-02, 1.700000000000000e-03, 3.688108205372986e+02
68, 1.478102188266289e-02, 1.700000000000000e-03, 3.691665043096353e+02
69, 1.473123855138083e-02, 1.700000000000000e-03, 3.695213940213210e+02
70, 1.468145522009878e-02, 1.700000000000000e-03, 3.698754817136954e+02
71, 1.463167188881672e-02, 1.700000000000000e-03, 3.702287592403458e+02
72, 1.458188855753466e-02, 1.700000000000000e-03, 3.705812182926794e+02
73, 1.453210522625259e-02, 1.700000000000000e-03, 3.709328504779891e+02
74, 1.448232189497054e-02, 1.700000000000000e-03, 3.712836471872974e+02
75, 1.443253856368848e-02, 1.700000000000000e-03, 3.716335996319183e+02
76, 1.438275523240642e-02, 1.700000000000000e-03, 3.719826989902140e+02
