"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","Species_0"
2159, -6.348538650105170e-02, 5.703320609933115e-03, -1.969498012166181e+00, 9.164708553358887e+00, 5.001210220697098e-03, 2.130279625983116e-03, 2.204461807307929e+03, 1.434905966973358e-28
2160, -6.348538650113715e-02, 5.924233758878105e-03, -1.985605680408591e+00, 9.258910015418538e+00, 4.328652154472812e-03, 1.804140477968963e-03, 1.220613196747100e+03, 4.105174628497408e-29
2161, -6.348538650123764e-02, 6.184131746015532e-03, -1.997044845324810e+00, 9.304203551833982e+00, 3.471605436381652e-03, 1.700341158043887e-03, 6.274793281167757e+02, 9.907042978920204e-30
2162, -6.348538650135591e-02, 6.489893944613094e-03, -2.004245852454294e+00, 9.320436070198824e+00, 2.483589349634599e-03, 1.700470580433059e-03, 3.172400424998924e+02, 2.068789317297503e-30
2163, -6.348538650149504e-02, 6.849614275364042e-03, -2.008257324600157e+00, 9.322125916397377e+00, 1.408523804265805e-03, 1.733934030753927e-03, 1.837151515520003e+02, 3.927994463749552e-31
2164, -6.348538650165869e-02, 7.272814733176446e-03, -2.009958082635160e+00, 9.317500667254075e+00, 2.777043465654561e-04, 1.765694733221367e-03, 1.357362945524720e+02, 6.617852560444978e-32
2165, -6.348538650185127e-02, 7.770697625293447e-03, -2.009606913961995e+00, 9.310209941443320e+00, -8.853647427239386e-04, 1.784013533831232e-03, 1.216568814680521e+02, 9.496772964920260e-33
2166, -6.348538650207775e-02, 8.356442248778902e-03, -2.007186237411130e+00, 9.301829025861300e+00, -2.059313238221261e-03, 1.791771994961792e-03, 1.185682953439831e+02, 1.098593807976735e-33
2167, -6.348538650234425e-02, 9.045553599354888e-03, -2.002640168777247e+00, 9.293085673838181e+00, -3.222959595616808e-03, 1.794943935403412e-03, 1.182125652741050e+02, 9.843310280845636e-35
2168, -6.348538650265778e-02, 9.856272728249226e-03, -1.995846545108976e+00, 9.284296975797114e+00, -4.354792836263854e-03, 1.796933422712019e-03, 1.183433134227268e+02, 6.705216229196505e-36
2169, -6.348538650302665e-02, 1.081006008816345e-02, -1.986615618817431e+00, 9.275562871514008e+00, -5.432269579752298e-03, 1.798789734431197e-03, 1.185117199507328e+02, 3.437908102226963e-37
2170, -6.348538650346061e-02, 1.193216282214383e-02, -1.974701199882098e+00, 9.266905261879504e+00, -6.431140997109669e-03, 1.800698024321500e-03, 1.185627335947871e+02, 1.315939872791774e-38
2171, -6.348538650397115e-02, 1.325228373735630e-02, -1.959788745681075e+00, 9.258334106056376e+00, -7.324745535707651e-03, 1.802788072841877e-03, 1.181820832486657e+02, 3.743711601984711e-40
2172, -6.348538650457178e-02, 1.480536721633710e-02, -1.941474213896120e+00, 9.249837127353526e+00, -8.083051660336751e-03, 1.804449433405354e-03, 1.179524124474805e+02, 7.884543733491874e-42
2173, -6.348538650527841e-02, 1.663252426629532e-02, -1.919225069138191e+00, 9.241404587616977e+00, -8.671243963242493e-03, 1.805590921976328e-03, 1.179295085372638e+02, 1.224125816242190e-43
2174, -6.348538650610971e-02, 1.878212086969040e-02, -1.892363869157302e+00, 9.233015972029706e+00, -9.047828705932633e-03, 1.806345584806159e-03, 1.179617426767694e+02, 1.396760968845369e-45
2175, -6.348538650708774e-02, 2.131105819040554e-02, -1.860227477301031e+00, 9.224690108379066e+00, -9.163422963905403e-03, 1.806779042391446e-03, 1.179932170728142e+02, 1.168995664823125e-47
2176, -6.348538650823835e-02, 2.428627861386009e-02, -1.822968111458795e+00, 9.216618005327852e+00, -8.965242413164189e-03, 1.806932884899839e-03, 1.180100705101755e+02, 7.167145899376973e-50
2177, -6.348538650959201e-02, 2.778653793670879e-02, -1.783447025766332e+00, 9.209385162833872e+00, -8.418065894049193e-03, 1.806866785114663e-03, 1.180119597930227e+02, 3.216353485433470e-52
2178, -6.348538651118454e-02, 3.190449019279291e-02, -1.749731433556355e+00, 9.204114678788269e+00, -7.552379331636452e-03, 1.806691970637031e-03, 1.180049900180209e+02, 1.055859527647034e-54
2179, -6.348538651305816e-02, 3.674914009532172e-02, -1.730540770544102e+00, 9.201548646251817e+00, -6.499810292504128e-03, 1.806523876370210e-03, 1.179958907859502e+02, 2.534513931887083e-57
