"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
2109, -4.240888121915956e-02, 1.381497080017658e-02, 1.462785848129126e+00, 2.563582562500143e+02, 4.020581195099334e+01, 3.477880253422902e+05, 1.299086590962004e+05, 3.093767659641891e+02, 5.030954816579108e-01, 6.296847814714062e-01, 1.752534429956999e+02, 2.748578132774239e+01
2110, 6.723050613028603e-01, -3.687854779137218e-01, 1.190574613707261e+00, 3.374785217340199e+02, 2.047762149849668e+01, 2.914316869129442e+05, 9.736999997303366e+04, 2.849042299463006e+02, 8.392459668950766e-01, -8.712682023382910e-02, 2.834585231774473e+02, 1.719978005807852e+01
2111, 4.326311272511220e-01, -3.878994395804937e-01, 1.138666536694465e+00, 3.428058692507022e+02, 1.121387428416155e+01, 2.803666445963010e+05, 9.148360835421698e+04, 2.798833565145026e+02, 8.981451917170730e-01, -2.168013033948183e-01, 3.010590530269409e+02, 9.848251373677220e+00
2112, 1.020386207498034e+00, -9.202617518848118e-02, 1.303134492952742e+00, 3.181155423504462e+02, 1.813452606794961e+01, 3.151012849351008e+05, 1.104586442791354e+05, 2.952846107078084e+02, 7.097916959913768e-01, 2.012099564505883e-01, 2.441156642470844e+02, 1.391608169841243e+01
2113, 1.021306192504587e+00, -8.201789678826085e-02, 1.307414535852452e+00, 3.169875075160552e+02, 1.755055301430280e+01, 3.159826606217339e+05, 1.109749854269473e+05, 2.956937416701340e+02, 7.044068437987689e-01, 2.125847129759998e-01, 2.424537121345183e+02, 1.342386254169923e+01
2114, 1.426411325664929e-01, -3.148724573436636e-01, 1.161891726306333e+00, 3.406447433232846e+02, -2.097845348241673e+01, 2.853462059030808e+05, 9.408860438601195e+04, 2.820991079567772e+02, 8.723852978630505e-01, -1.594144463974668e-01, 2.931811421071033e+02, -1.805542892461027e+01
2115, 3.947216363075010e-01, -3.854763817389192e-01, 1.128010978117563e+00, 3.435151187365170e+02, 8.888383679103796e+00, 2.780762588062185e+05, 9.029424625980607e+04, 2.788541396007222e+02, 9.099980651696683e-01, -2.430023999020553e-01, 3.045317159144840e+02, 7.879696077015868e+00
2116, -1.707955381514733e-02, -1.765813676837510e-01, 1.298264737801158e+00, 3.174824784759012e+02, -3.464906179896630e+01, 3.140587538636536e+05, 1.099108847496764e+05, 2.949224192416775e+02, 7.145372790869733e-01, 1.891430675178086e-01, 2.445437122582673e+02, -2.668874905872483e+01
2117, 1.022875010423306e+00, 6.904944348510877e-02, 1.302441535048966e+00, 2.999254382398329e+02, -1.301455025667557e+01, 3.136949687303726e+05, 1.116386488966779e+05, 2.985978522661268e+02, 6.653824869155719e-01, 2.272049120730204e-01, 2.302793869580925e+02, -9.992425691634809e+00
2118, 1.023233054178095e+00, 5.951947634475057e-02, 1.307524938466728e+00, 2.988972771590588e+02, -1.193528881059142e+01, 3.147720902011889e+05, 1.122215968119041e+05, 2.989900999764591e+02, 6.599950707225051e-01, 2.400469848591887e-01, 2.285977638862944e+02, -9.128153857307964e+00
2119, 1.000318291974450e+00, 1.540228323234212e-01, 1.274845502341609e+00, 3.076271381651890e+02, -1.718409471697917e+01, 3.080102997417703e+05, 1.083113742153559e+05, 2.959694294124292e+02, 7.007632819635450e-01, 1.539065906946326e-01, 2.413054268930204e+02, -1.347935470252340e+01
